trackName,artistName,endTime,msPlayed,artist_id,track_id,genres
Tondo,Disclosure,2020-10-03 00:05:00,329280,6nS5roXSAGhTGr34W6n7Et,0csz09qS2n8Jo7LogHKu7j,"['house', ' pop', ' uk dance']"
Gang Signs,Lil Baby,2020-10-03 00:08:00,169782,5f7VJjfbwm532GiveGC0ZK,1nX1wW2WuCEnc2eDOBOaFd,"['atl hip hop', ' atl trap', ' rap', ' trap']"
what you do to me,53 Thieves,2020-10-03 00:11:00,203764,4IwM0dNvhWqqtsTyulxe2K,307SlzozNN4N7UvFA7KG0s,['chill pop']
three a.m.,53 Thieves,2020-10-03 00:14:00,160434,4IwM0dNvhWqqtsTyulxe2K,4snTfg1mMurCtt5dixC22A,['chill pop']
man i is,Logic,2020-10-03 00:19:00,269231,4xRYI6VqpkE3UwrDrAZL8L,0ERnYArznxdTBEIj1VSta8,"['conscious hip hop', ' dmv rap', ' hip hop', ' pop rap', ' rap']"
Perfect,Logic,2020-10-03 00:21:00,100291,4xRYI6VqpkE3UwrDrAZL8L,5jbDih9bLGmI8ycUKkN5XA,"['conscious hip hop', ' dmv rap', ' hip hop', ' pop rap', ' rap']"
10 F*CKS (with Mansa),Tory Lanez,2020-10-03 00:24:00,169763,2jku7tDXc6XoB6MO2hFuqg,7DHNcoR73yUYCSn6PqBgkH,"['canadian hip hop', ' canadian trap', ' hip hop', ' melodic rap', ' pop rap', ' r&b', ' rap', ' toronto rap', ' trap']"
Money In The Bank (feat. AJ Tracey),Kranium,2020-10-03 00:26:00,161944,1LKo6ZA3RNvKtLa6zDu32S,3EvIW2rx7uL8KsdK82d2eX,"['basshall', ' dancehall']"
W (feat. Gunna),Koffee,2020-10-03 00:30:00,230151,1gWjcmBsveEYMxOZ0VRi32,6xW2g0c5uSoa3S6xk9eI4j,"['dancehall', ' modern reggae']"
Don't Rush (feat. DaBaby),Young T & Bugsey,2020-10-03 00:34:00,201960,6M6XXCcO5gI68XpIlrUL3Z,3AMxuq6id3YGB57eWeheZQ,"['afroswing', ' nottingham hip hop', ' uk hip hop']"
City on My Back,Lil Tjay,2020-10-03 00:35:00,106616,6jGMq4yGs7aQzuGsMgVgZR,0Junu3e7oARNdpIsOV5LNu,"['brooklyn drill', ' melodic rap', ' nyc rap']"
Pressure 2.0,Osibih,2020-10-03 00:38:00,145798,3vJy4Wg4r5yN5HJKRL8ucR,4qR38Jx1iYKdEuE0z3AoA5,['sad rap']
Safety (feat. DJ Snake),GASHI,2020-10-03 00:41:00,177780,0JOxt5QOwq0czoJxvSc5hS,26Sw3iKfNsX2i0OnKqKXNi,"['pop rap', ' trap soul']"
Rags2Riches (feat. ATR Son Son),Rod Wave,2020-10-03 00:43:00,164854,45TgXXqMDdF8BkjA83OM7z,0qg0GJp7HSewRCVPP4fKGk,['florida rap']
Still Breathing,404vincent,2020-10-03 00:44:00,5420,2Z5B561ejdKl84k2jsbAbJ,1zqRmlFbmonxUy0l8eAhwd,['canadian hip hop']
I Do This!,404vincent,2020-10-03 00:44:00,920,2Z5B561ejdKl84k2jsbAbJ,29TQLMbYYWOEfytEwLthQ0,['canadian hip hop']
Witness (feat. Veela),Approaching Nirvana,2020-10-03 00:47:00,232500,3sS2Q1UZuUXL7TZSbQumDI,2Zw5LkBcrtaWsMKLtl0siA,"['chillstep', ' complextro', ' gaming edm', ' melodic dubstep']"
Walk Thru Fire,Vicetone,2020-10-03 00:51:00,194482,0daugAjUgbJSqdlyYNwIbT,2wQ411UQL2MRsdAgPRUstT,"['edm', ' electro house', ' pop dance', ' pop edm', ' progressive electro house', ' tropical house']"
Nevada,Vicetone,2020-10-03 00:54:00,208561,0daugAjUgbJSqdlyYNwIbT,02shCNmb6IvgB5jLqKjtkK,"['edm', ' electro house', ' pop dance', ' pop edm', ' progressive electro house', ' tropical house']"
Heartbeat,Vicetone,2020-10-03 00:58:00,5570,0daugAjUgbJSqdlyYNwIbT,,"['edm', ' electro house', ' pop dance', ' pop edm', ' progressive electro house', ' tropical house']"
